what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1252248238343
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252248241562
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248244656
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248244671
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248244703
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248295343
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252248298375
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1252248304250
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1252248306046
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1252248309125
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248336515
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248336562
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248336593
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248389296
activated,view,org.eclipse.jdt.junit,3.5.0.v20090526-2000,"org.eclipse.jdt.junit.ResultView",1252248398156
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252248398421
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248416250
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248416265
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248416296
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248479375
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248485531
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248485546
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248485656
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248487687
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248488406
