what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252246312828
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252246399718
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252246403546
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252246442937
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252246468281
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1252246512312
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252246513390
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1252246515468
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252246552218
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252246600531
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1252246607093
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1252246627828
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1252246638031
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252246650171
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252246650406
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1252246657031
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252246696546
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252246705468
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1252246708046
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252246711625
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252246711640
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252246711671
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252247118250
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252247119546
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252247119578
