what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248583781
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248612625
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248612640
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248612671
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248639890
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252248663750
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252248664734
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252248667500
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252248668734
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252248669734
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252248671343
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252248676453
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252248678093
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252248685546
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252248691593
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248700062
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248700093
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248700140
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248715328
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1252248719578
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248722265
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248722531
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248732171
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248732203
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252248732234
