what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252204795937
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252204804421
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252204920406
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252204924421
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252204928093
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252204929500
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252204930937
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252204941921
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252204954593
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252204959687
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252204970843
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252204976406
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252205001000
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1252205025843
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252205026828
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252205031078
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1252205032781
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1252205040562
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1252205042156
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252205048031
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252205052046
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1252205053906
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252205059531
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252205059796
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1252205063968
